Genes,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Malat1,115.163640874789,7.14121227279233,0.220306912724498,32.4148352154646,1.6962897145807898e-230,5.3502310030886696e-229
Tmsb4x,69.8126463604131,5.34761333232462,0.206937225915711,25.8417174998895,3.014860619493919e-147,4.03010817765896e-146
Tmsb10,28.6232107138877,5.17854541713432,0.239746376089129,21.6000988278093,1.7923160885913299e-103,1.18579087229997e-102
Rpl41,26.0675527021155,5.03437924646861,0.223344742726905,22.5408450855027,1.6513661461716199e-112,1.3070707025043001e-111
Rpl37a,25.2015802744021,4.88489300490686,0.222383484474913,21.9660781754588,6.079710977495048e-107,4.3061182228662395e-106
Fau,26.5339444376674,4.81520440890282,0.213431822964129,22.5608549935504,1.05072311589339e-112,8.35456917740058e-112
Rpl13,28.6590306072366,4.79497832382932,0.225154844535903,21.2963586624703,1.2269639994385698e-100,7.698019323400618e-100
Rplp1,24.2146752132177,4.64759042596729,0.22986915855567,20.2184166643727,6.741217208633769e-91,3.4703307523735995e-90
B2m,18.8530018335203,4.60261799633439,0.211776455764187,21.7333790941303,9.92249767587769e-105,6.69624277544687e-104
Rps24,24.4443041951244,4.57324235352688,0.22420085283351401,20.3979703722308,1.7430126386245298e-92,9.209034386255129e-92
Fth1,16.7646306180804,4.5505076027092,0.239129473697843,19.0294719105144,9.72275440656298e-81,4.06999021670078e-80
Uba52,23.4694321190985,4.52833408964988,0.219836681791754,20.5986282759647,2.8232717344184393e-94,1.55458633477471e-93
Rps27a,19.9194247923885,4.43158401390602,0.219163095215325,20.2204847013684,6.46449015054705e-91,3.33115879426018e-90
Rps15a,20.2660042415795,4.42322766693206,0.226055324203684,19.567013882613,2.95496025367795e-85,1.3471521855195597e-84
Rpl13a,28.2792417631712,4.40485274158102,0.208136708559293,21.1632670280562,2.08279307563475e-99,1.2783280252573099e-98
Rplp2,19.556306852794,4.40303902894476,0.219919922392118,20.0211012310841,3.6066109280317795e-89,1.78619630401574e-88
Rpl37,17.2822036620277,4.39900901120615,0.214028165045402,20.5534117917284,7.173968303155269e-94,3.9130736199028805e-93
Rps18,22.2396427937533,4.3984857060359,0.228936244587158,19.212710132324,2.8973830529466297e-82,1.24071694309938e-81
Tpt1,18.9032210164242,4.37333125248419,0.217653659820516,20.0930747320793,8.48418606662935e-90,4.2625073405009794e-89
Rps8,19.1282195483503,4.32884758201763,0.22054543476896,19.6279174245999,8.93006318015663e-86,4.1161085916483604e-85
Rps11,18.7111298922985,4.302182792244,0.225989478279425,19.0370933416845,8.40653899048317e-81,3.52184057225699e-80
Rps14,23.1169994145293,4.28888733123796,0.205917014851325,20.8282318696908,2.40164712680743e-96,1.3746269738963597e-95
Rpl35,18.3792417749254,4.24904382401183,0.223367371773815,19.0226700984532,1.106997251464e-80,4.62652173950525e-80
Rps27,14.5555621401949,4.24254920475062,0.219066381471625,19.3665005842083,1.47979777417804e-83,6.50761952924125e-83
Rpl23,18.8595272605172,4.23769913331329,0.217350509340291,19.4970747764783,1.1624339486210897e-84,5.235466101641139e-84
Rps28,13.0798605548811,4.23029808262501,0.230984887176554,18.3141768898135,6.378404968884669e-75,2.4205942520958203e-74
Rps7,19.3226695710271,4.17799487758022,0.228436249135031,18.2895442093805,1.0024979577421201e-74,3.78520024550731e-74
Actg1,12.8556284422282,4.15325701974607,0.235154689806876,17.6618081619251,8.2552251378487e-70,2.88435577105557e-69
Rps3a,17.8389020583875,4.14298729697059,0.21844336064325,18.965956597494,3.26041559055163e-80,1.34967243320218e-79
