"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"S100a8",11.8359765801964,4.37396203078613,0.314027731235554,13.9285852672202,4.24684367608609e-44,1.88368751252798e-40
"Lyz1",21.7631164151831,4.34242467789674,0.361211409018779,12.0218369892934,2.7283750925211e-33,4.84068308915094e-30
"Lyz2",16.3916068684889,4.33344490535046,0.298846450433683,14.5005734518908,1.20141977111952e-47,1.06577947896013e-43
"Ifitm3",6.50686296588023,3.13377872076236,0.241300130470126,12.9870577137974,1.44890964482294e-38,4.28442581974143e-35
"S100a9",5.65423908946887,3.13279410499923,0.278151482156426,11.2629063872377,2.0005016895377e-29,1.7746450487889e-26
"Mgp",4.71919315268884,2.94197215692201,0.268343681340898,10.9634485977875,5.72743885476879e-28,4.61891909824127e-25
"Cebpb",4.61885976510492,2.76757853763434,0.236558416956094,11.6993450211835,1.28441019876574e-31,1.89900047887515e-28
"Cst3",10.1602767813337,2.70505552698203,0.235168296629533,11.5026369019604,1.27945865771551e-30,1.41875971907429e-27
"Ccl6",4.30213015319158,2.61792865640127,0.242239563263893,10.8071886405663,3.18274953116617e-27,2.35284759091459e-24
"Chi3l3",4.35570709243364,2.57699789028494,0.287078037953663,8.97664589271329,2.79146541981257e-19,1.07665607561553e-16
"Dusp1",4.20460341064699,2.52624979006616,0.208059873820484,12.1419365669991,6.33096728202515e-34,1.40405026897113e-30
"Gsn",4.08615432653169,2.33480128563535,0.253304962979527,9.21735309948924,3.04524385494514e-20,1.22792537441902e-17
"Sepx1",3.77278244976723,2.25873571653959,0.218738164383005,10.3262076963607,5.36394834533702e-25,3.66027582857575e-22
"Fos",3.75513681735829,2.18395931584222,0.211933437650765,10.3049303595077,6.69401439978184e-25,4.24161441003319e-22
"Ifitm2",5.37368589802475,2.18393245324947,0.263466944596585,8.28920856312148,1.14004488035316e-16,3.61190647629032e-14
"S100a6",4.24274686772745,2.176991619682,0.215346852181768,10.1092335347649,5.02760549908222e-24,2.7874930238974e-21
"Scgb1a1",2.89619839674798,2.10578940157873,0.182444759794369,11.5420656858116,8.09573699097431e-31,1.02596118352762e-27
"Cldn5",2.83442837075756,2.06077622350827,0.235846713416623,8.7377779984914,2.37740111641898e-18,8.11150973221259e-16
"Ftl1",35.0770229448438,1.99062458992108,0.264384102526011,7.52929004014239,5.1016947721779e-14,1.29306098068543e-11
"Apoe",21.0068343842086,1.93018230397379,0.269255627433083,7.16858667867023,7.57759507310499e-13,1.72361143316703e-10
"Inmt",2.63884050812956,1.9289194809684,0.245976097100563,7.84189806938762,4.43786548601192e-15,1.31227682421373e-12
"Anxa2",2.93291157217852,1.89055917369292,0.195177050990241,9.68638046379464,3.44522317885009e-22,1.69792082330995e-19
"Rps15a-ps4",5.75107033780541,1.86768617706185,0.164621967552637,11.3453034538945,7.82543014689159e-30,7.71326564811948e-27
"Vim",4.33281918791698,1.85066608984906,0.196626513329664,9.41208821999618,4.8637622421589e-21,2.15732174250958e-18
"Lgals3",9.30713468406902,1.8121782510022,0.30017593542305,6.03705373133335,1.56953473248965e-09,1.76244843188806e-07
"Ctsd",3.63837982843371,1.81166694078866,0.196008398187113,9.24280264287049,2.40123622702086e-20,1.01435078904295e-17
"Cd9",15.5043639499814,1.80500983117922,0.287129254762,6.28640168580311,3.24908612562893e-10,4.39701964963963e-08
"Tyrobp",9.6527099508731,1.80277069065192,0.261707526584449,6.88849386251867,5.63861662597743e-12,1.0208197569193e-09
"Klf2",6.94241113900891,1.76782172108236,0.175606865496208,10.0669282837381,7.73563504686834e-24,4.03663638239818e-21
"Psap",5.56862428926669,1.7653777076409,0.206263114429006,8.55886285111113,1.13986218828593e-17,3.74508054529054e-15
"Ramp2",2.44164635334052,1.72733405519,0.226209066241659,7.63600718525,2.24061824037062e-14,6.21141387822744e-12
"Fcer1g",5.7135018353838,1.71654786473987,0.222813399768204,7.70397052657347,1.31902283944279e-14,3.77453277699903e-12
"Gpx3",2.32684059266428,1.68959217390366,0.236808398350896,7.13484904112254,9.68934399210559e-13,2.09644318424314e-10
"Gm1821",3.01711647283982,1.66417526784166,0.163686000888402,10.166875962571,2.78704414420571e-24,1.64825790688326e-21
"Tmem100",2.21103773451522,1.58893297334795,0.223915227671026,7.09613629173267,1.28292963358646e-12,2.58656108626034e-10
"Gzma",3.71044503892494,1.57755123644851,0.257947774153978,6.11577766709791,9.60872145772424e-10,1.15334739865092e-07
"Junb",5.64586775834016,1.57104816641722,0.224824032412764,6.9879013802798,2.7902840409168e-12,5.26651270786657e-10
"Retnlg",2.18403731755796,1.55678574487968,0.230009960465376,6.76834056112115,1.30267835835233e-11,2.22231917633529e-09
"Sepp1",2.56304743433698,1.54836612467168,0.191649567696246,8.07915271233878,6.52183137435263e-16,1.99500572834076e-13
"Alox5ap",2.42225732322977,1.54541150478258,0.207227374402623,7.45756447109152,8.81364404442473e-14,2.11313071129978e-11
"Igfbp7",2.16211183111395,1.54498737419412,0.22541646294734,6.85392430523164,7.18511111592586e-12,1.27478241418757e-09
"Lst1",2.55511552511376,1.54196612415964,0.216247340302558,7.13056688698334,9.99563868858705e-13,2.11122168586799e-10
"Ly6c2",12.6253888475254,1.53890782461775,0.310592525210578,4.95474842343484,7.2423932467971e-07,4.72406400678949e-05
"Jun",3.75755803765002,1.52297127466834,0.253424797034371,6.00955901904808,1.86028634073264e-09,2.03735804057275e-07
"Ear2",2.82121134490927,1.50807130158924,0.263775917222551,5.7172440815242,1.08265551917273e-08,1.11677175704433e-06
"Aqp1",2.49222574106785,1.50363352053885,0.245336334659497,6.12886600195502,8.85076267613583e-10,1.09048771805557e-07
"Gpx1",5.55364506895017,1.48108114919163,0.232186491755439,6.37884287752468,1.78430981261162e-10,2.63810205794628e-08
"Actb",33.3829172846664,1.47940062702198,0.206894406871291,7.15051049177135,8.64557739253237e-13,1.91737292622887e-10
"Lgals1",3.93586821345479,1.46672004276558,0.222161938121962,6.60203118123854,4.0556217951781e-11,6.42453945446873e-09
"Hpgd",2.69544945662642,1.42268449960299,0.24960255843281,5.69979934715278,1.1994852571211e-08,1.20916292226378e-06
"Cxcl2",2.01494383480382,1.40303532909449,0.22098789827803,6.34892380997851,2.16826378807621e-10,3.10236581677807e-08
"Sat1",2.84926844440121,1.39957591316401,0.184215487210024,7.5974932095061,3.01922056675728e-14,8.11621383263752e-12
"Crip2",6.5831616185659,1.36569193657863,0.283488087363846,4.81745793722126,1.45398729218744e-06,9.08332483732028e-05
"Sparc",1.98762104710756,1.3627811421072,0.219331167120817,6.21334924715245,5.18669921904759e-10,6.66829112640162e-08
"Gngt2",2.88808855258905,1.35532684110792,0.200441234266003,6.76171670001435,1.36366157987847e-11,2.28246073115131e-09
"Itm2b",9.62570735329486,1.34833257311305,0.224644462071304,6.00207350174997,1.94813468880124e-09,2.10754912492144e-07
"A130040M12Rik",2.56793902005023,1.33567159937634,0.209700092244116,6.3694373477979,1.89722899294048e-10,2.75906858956967e-08
"Ier2",3.01567553043303,1.33303248562911,0.176836941620771,7.5382014267574,4.76497471269271e-14,1.24323796106756e-11
"Slpi",9.61236740259536,1.33165468845592,0.304861614532683,4.3680628356482,1.25353432106776e-05,0.000567352191948575
"Egfl7",1.93137973967051,1.3140454972421,0.20904506341883,6.28594368961183,3.25868054844691e-10,4.39701964963963e-08
"Mfap4",8.3595930054825,1.31179082153638,0.298870370501542,4.3891631657398,1.13787673577605e-05,0.000523010597050224
"S100a11",4.6725226816496,1.30241987821722,0.191258360021495,6.80974090790514,9.77746737396904e-12,1.70070417793097e-09
"Ccl5",9.64582708004375,1.28953898576455,0.285121116046521,4.52277615788423,6.10337767401987e-06,0.000307631041739945
"Cebpd",1.95364971759898,1.26564727316799,0.201364967763096,6.28533993389068,3.27137072343835e-10,4.39701964963963e-08
"Cd44",41.5190459931413,1.26254029502737,0.315105556464315,4.00672177664486,6.15673148682416e-05,0.00236434480604403
"Zfp36",53.4204069892057,1.23335009738516,0.238057380010561,5.18089419168793,2.20824733620926e-07,1.59469450797912e-05
"Fxyd5",4.09168933408433,1.23090365345569,0.163580688238986,7.5247492030195,5.28216159544031e-14,1.30161265314308e-11
"Lamp1",2.99712342867154,1.22457006302074,0.175321744040448,6.98470158235604,2.85462095924053e-12,5.27569636029641e-10
"Sftpc",2.00389969035898,1.21209653804704,0.196863072960723,6.15705383349813,7.41106628309426e-10,9.25965760525763e-08
"Btg2",15.4326298576656,1.2058974131502,0.255191028339985,4.72546946887025,2.29584328360624e-06,0.00013668742126759
"Trf",1.86226872638628,1.20241177013611,0.198081907569724,6.0702755990618,1.27690926000337e-09,1.47109896694674e-07
"Thbd",4979.19006344708,1.20174194454558,0.251973196791504,4.76932451486085,1.84844684915439e-06,0.000113086703440335
"Gstm1",1.85755671026972,1.18286819965669,0.193678186808197,6.10738988809361,1.01273634114792e-09,1.19786454430977e-07
"Il1b",1.84731370685074,1.17308182301387,0.209717799653852,5.59362068908835,2.22382513898409e-08,2.1212422374116e-06
"Plac9",1.80310400047637,1.16911820966023,0.216053874011934,5.41123465157425,6.25916895214628e-08,5.55250877744896e-06
"Txn1",3.12858501807698,1.16664689938118,0.17314745425789,6.73788075245708,1.60713376399986e-11,2.64016363341532e-09
"Fth1",16.7646306180804,1.15864872853289,0.165674041508461,6.99354417857738,2.68027408416418e-12,5.16885030448271e-10
"Lpl",7.64169617349265,1.15674337975356,0.293846339732392,3.93655874974321,8.26583912657279e-05,0.00301018423902226
"Ctsb",27.7659127095146,1.14214187715234,0.298132824933476,3.83098331224411,0.000127632162677403,0.00438846866322185
"Laptm4a",9.48648162531754,1.13637840837561,0.262506875552714,4.32894721703169,1.49823833511028e-05,0.000661237426406136
"Pltp",1.84677647222419,1.13632467382319,0.19551271750641,5.8120243445848,6.17218617988237e-09,6.59680284358271e-07
"Tspan7",1.7758300533831,1.13336894733877,0.20406540769055,5.55394939380141,2.79286367724998e-08,2.58078059175881e-06
"Zfp36l2",2.88405167538895,1.12874925560588,0.159491354223342,7.07718146292276,1.47115842204674e-12,2.90014363599482e-10
"Tm4sf1",1.77086782684324,1.1250993040326,0.210234775879599,5.35163271311946,8.71641766661448e-08,7.48733061383844e-06
"Cxcl14",21.5872348830504,1.11709469510476,0.314139273588783,3.55604914451754,0.00037647368430999,0.010878495288319
"Fkbp1a",2.51703061621465,1.10527919752153,0.168792995605164,6.54813426089653,5.82603320490102e-11,9.06714746678544e-09
"Klf4",1.84035974873967,1.10340807536499,0.194980475805614,5.65906955968781,1.52195863520988e-08,1.50014389477187e-06
"Ly6c1",2.31302998002223,1.10082825672793,0.237000499519615,4.64483517528121,3.40348070325553e-06,0.000192307498844457
"Gsr",30.8289090350504,1.09693977186701,0.288483687965614,3.80243257288696,0.00014328226947371,0.0048146098958382
"Ubb",7.19529065584674,1.09538581705142,0.122774818414468,8.92190948597921,4.58316735523178e-19,1.62629110433045e-16
"Ptms",7.86026424652199,1.09208112417674,0.27816041440451,3.92608389843927,8.63400507785687e-05,0.00311209084235641
"Sdpr",1.73930034825395,1.08861297552968,0.20633594014639,5.27592514787941,1.32087998848219e-07,1.02785319103733e-05
"Txnip",3.47787943974338,1.08643690957993,0.223979821906166,4.85060172087768,1.23087488196277e-06,7.74403622545515e-05
"Prr13",23.8839645375274,1.08484177400584,0.293262307915458,3.69921992947889,0.000216263141329508,0.00673147483064583
"Plvap",1.73376215088694,1.07969039290212,0.205906034626542,5.24360733215219,1.57467136827285e-07,1.18747546279294e-05
"Lrrc58",4.28739225328584,1.07404586307515,0.254694107755995,4.21700318290881,2.47570482055106e-05,0.00105380048683962
"Serpinh1",1.72623406147935,1.07320519605172,0.199569678255574,5.37759646371405,7.54867709765079e-08,6.56512887580982e-06
"Oaz1",4.12189717588628,1.06677762454826,0.233448757322788,4.56964362021953,4.8855427268359e-06,0.000262664542604614
"Mt1",1.72003117898017,1.06513586980618,0.205598779141718,5.18065269770881,2.21110838103293e-07,1.59469450797912e-05
"Cyr61",1.73063531924738,1.06312057415132,0.212712182601196,4.99792988417835,5.79490468487776e-07,3.86515785410155e-05
"Ubc",4.27428700118177,1.05576717103987,0.195957746642536,5.38772867686515,7.13536597162301e-08,6.26711203309582e-06
"Atox1",2.87069651123453,1.05275677777459,0.18685571894851,5.63406238620232,1.76013300243335e-08,1.6971891157159e-06
"Mpeg1",1.79767860136473,1.04127207775609,0.194985602313883,5.34025110264232,9.28179295673379e-08,7.84178907801766e-06
"Ucp2",3.61725883594903,1.04055223100901,0.167056864462864,6.22873076395082,4.70229079176153e-10,6.22597337518157e-08
"Ccl9",17.8235748262,1.03844543113683,0.316572358770154,3.28027827562413,0.0010370474316628,0.0251356496346467
"Clec14a",1.70004476240779,1.03791883798798,0.203401731538633,5.10280237113342,3.3466043486272e-07,2.31935368567749e-05
"Anxa5",2.02590643156178,1.03319584151721,0.178324454264532,5.79391001519366,6.87663129467583e-09,7.2622138351273e-07
"Sparcl1",6.33841648616882,1.03277784363842,0.304358874401242,3.39328973295153,0.000690585532852054,0.0178086751800307
"Ehd4",1.81173289365451,1.03268995164703,0.194858686892701,5.29968649647977,1.16001691914226e-07,9.3828935337025e-06
