"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Mir343",31633.2464951277,16.8281754766179,0.165395058843021,101.745333834851,0,0
"Olfr807",3422.98603127389,13.6197219483327,0.17672267951496,77.0683309336071,0,0
"Laptm4b",2489.83001166209,13.008676668757,0.149390603641639,87.0782790326118,0,0
"Thbd",4979.19006344708,12.9498167222211,0.208823590172116,62.0131887951338,0,0
"Ccs",2296.35022940867,12.8444481818336,0.171762321785156,74.7803595592968,0,0
"Myh1",1886.11229779998,12.7595241952401,0.241921821831192,52.7423450214568,0,0
"Mir599",1685.72605891042,12.5974739902555,0.160649948640531,78.4156739349077,0,0
"Rxfp3",1631.33219755923,12.5501391281481,0.154164635360246,81.4073804852935,0,0
"Kcnj5",1438.00670336612,12.3680469203674,0.163226523408489,75.7722866486305,0,0
"4933432I03Rik",1384.93247447269,12.3137308692318,0.188062652721163,65.4767477277329,0,0
"Tmem45a",1442.33843057012,12.3097686665926,0.16851548255561,73.0482949098187,0,0
"Defb21",1330.85574269701,12.256242823148,0.175799141278795,69.7173076841781,0,0
"Mir143",1158.4394801971,12.0559369601909,0.173828555398761,69.355330788631,0,0
"Irx2",1104.68529832258,11.9873338412594,0.17648491982106,67.9227089397412,0,0
"Mir378b",954.177292792609,11.7758623843568,0.166686927922419,70.6465859748619,0,0
"0610040F04Rik",928.787175346039,11.7368727113922,0.210734284840551,55.6951267814477,0,0
"Cmbl",952.872892641529,11.6710127359248,0.157713870224294,74.0011815024688,0,0
"Peli3",804.219351855084,11.528914177448,0.194563335142464,59.2553276752079,0,0
"Fbxw17",764.947270014045,11.3941372771853,0.197014799184658,57.8339156466402,0,0
"Mir770",696.562216230139,11.3213491413846,0.18276540948142,61.9447037243421,0,0
"Vipar",678.803956788579,11.1808317882756,0.313173769557166,35.7016866517445,3.72197242539872e-279,1.51196078292461e-277
"Olfr810",589.312989056687,11.0797873810134,0.199438328784894,55.5549550004681,0,0
