"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Mir343",31633.2464951277,16.8194618033269,0.196976724267473,85.3880673763665,0,0
"Thbd",4979.19006344708,14.1515586667666,0.262262081240877,53.9596063594455,0,0
"Olfr807",3422.98603127389,13.6110150424909,0.208436675984277,65.3004802452212,0,0
"Laptm4b",2489.83001166209,13.1516461846739,0.186020844744286,70.6998519588106,0,0
"Ccs",2296.35022940867,12.8294847314346,0.201263754642947,63.7446357601486,0,0
"Myh1",1886.11229779998,12.7508484611701,0.27599176605477,46.2001046025397,0,0
"Mir599",1685.72605891042,12.5887572333017,0.192208211385594,65.4954184451935,0,0
"Rxfp3",1631.33219755923,12.5414181563807,0.185731199890224,67.524563260202,0,0
"Tmem45a",1442.33843057012,12.3636467770134,0.202071258677157,61.1845883375551,0,0
"Kcnj5",1438.00670336612,12.3593317921399,0.194793115348729,63.4485041733306,0,0
"4933432I03Rik",1384.93247447269,12.3050303301119,0.22001103635284,55.9291503467028,0,0
"Defb21",1330.85574269701,12.2475353423588,0.207496440141154,59.0252793446825,0,0
"Mir143",1158.4394801971,12.0472283105667,0.205495848379673,58.6251664233543,0,0
"Irx2",1104.68529832258,11.9786267545266,0.20819265879948,57.5362590765692,0,0
"Mir378b",954.177292792609,11.7671493989724,0.198273980214196,59.3479254628385,0,0
"Cmbl",952.872892641529,11.7651085740085,0.192598005947727,61.0863467465061,0,0
"0610040F04Rik",928.787175346039,11.7281836660292,0.243402053479161,48.1844072323461,0,0
"Peli3",804.219351855084,11.5202170871206,0.22668532990992,50.8203027152155,0,0
"Fbxw17",764.947270014045,11.4309988698172,0.230293785987101,49.6365927583365,0,0
"Derl1",888.114242767933,11.3183915121588,0.18710792538571,60.4912458348666,0,0
"Mir770",696.562216230139,11.3126456372824,0.21458918096592,52.7176886847759,0,0
"Fstl1",641.384697198027,11.1931909194113,0.257097544910102,43.5367475925343,0,0
"Vipar",678.803956788579,11.1296788651516,0.350022320011092,31.7970547272496,7.10923275267845e-222,3.079684229791e-220
"Olfr810",589.312989056687,11.0710927874426,0.231707634844399,47.7804401865192,0,0
"Mir9-2",550.425090258521,10.9724493435241,0.247449036954971,44.3422592326387,0,0
"Myo5a",602.389837570878,10.9577145732492,0.197232761175769,55.5572740954731,0,0
"Olfr171",536.847755989184,10.9363812312425,0.195763684892606,55.8652195234377,0,0
"Lrrn4",536.634409317917,10.9357883666027,0.229561506452334,47.6377269674061,0,0
"Ssbp2",531.739439053166,10.8887370915602,0.241297026348581,45.1258652306396,0,0
"Mir670",504.457095550523,10.8464448920824,0.210003095392073,51.6489762773843,0,0
"4930413F20Rik",495.657174707854,10.8210054005695,0.206454752846503,52.4134477476273,0,0
"EU599041",484.898222937943,10.789271237593,0.260172226155126,41.4697271766432,0,0
"Dtnb",528.446451308662,10.7684204241379,0.215245029775765,50.0286600594498,0,0
"Pde3a",473.232548484776,10.754089594617,0.227799199718101,47.2086364127928,0,0
"Pcsk2",429.563276136936,10.6141470491992,0.212932120854583,49.8475617797837,0,0
"Vmn1r185",421.705058678518,10.5874542965795,0.220239396516489,48.0724814181321,0,0
"D830046C22Rik",413.097647993192,10.5576426755072,0.209272850108319,50.4491751798793,0,0
"Spata22",405.694536428307,10.5314919277109,0.234143167862767,44.9788564143948,0,0
"Lrrc8a",432.758753545397,10.5105587792677,0.248213654373038,42.3448049456276,0,0
"Mrpl2",459.328582877953,10.4906976113823,0.206484370091732,50.8062552469312,0,0
"Tfg",413.149922801379,10.4590956073025,0.199061120287067,52.5421317443576,0,0
"Kcnk7",388.992406980975,10.4371964276412,0.222004095181927,47.0135310751282,0,0
"Clec10a",375.883870328001,10.3714019307574,0.241473954548732,42.9503958310514,0,0
