Genes,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Lyz1,21.7631164151831,4.82247714038189,0.413304441638825,11.6680989956457,1.8552250388627798e-31,4.89351930412518e-31
Ifitm2,5.37368589802475,2.31752026512299,0.298455370923557,7.76504794653727,8.1614344206865e-15,1.7244560888882202e-14
Ear2,2.82121134490927,1.72188075337087,0.296486988860835,5.80760983807989,6.3370978196174705e-9,1.20464860227251e-8
Ly6c1,2.31302998002223,1.45315006819421,0.262784679231096,5.52981274420603,3.20572800390982e-8,6.00104005035297e-8
Hpgd,2.69544945662642,1.40064345268861,0.282782725784221,4.95307288945711,7.30505953051043e-7,1.32796137033831e-6
Itm2b,9.62570735329486,1.36089513394496,0.260082887321924,5.23254393227523,1.67192898600823e-7,3.08991655406725e-7
Aqp1,2.49222574106785,1.23023847337972,0.280094959697407,4.39221924846049,1.12199467011982e-5,1.9870439959374e-5
Pmp22,1.6986963800156,0.942628007175221,0.237757006007001,3.96466973994224,7.34976327851575e-5,1.2737637554399e-4
Cd68,1.80656945811754,0.92114170734702,0.237330091343227,3.88126807744267,1.0391321904872e-4,1.7895975039073e-4
Pcolce2,1.85863479069453,0.900687661694979,0.262600489815628,3.42987807192344,6.0385252999706e-4,0.001011750989114
Mgst1,1.85894643091982,0.897596298661128,0.240283936326718,3.73556515005918,1.8729408001626e-4,3.1944946828456e-4
Rnaset2b,1.91896739745001,0.870910920313368,0.225188834322795,3.86746937490235,1.0997063399643e-4,1.892357703845e-4
Ybx1,5.8478518854599,0.807729911574474,0.243409146696997,3.31840410492035,9.0533402730289e-4,0.00150816774294595
1810033B17Rik,1.74346542892363,0.806880718555994,0.242642567649203,3.32538814756745,8.8295519984387e-4,0.00147112229274978
Gnai2,4.23307191519694,0.728243765132614,0.231908543372092,3.14021965100339,0.00168821204124028,0.00278039654686047
Adamts1,1.5155714922672,0.717562165718654,0.229112451386068,3.13192129619145,0.00173666423170082,0.00285703980128531
Ptprb,1.68537539262731,0.701989691936861,0.245518501151399,2.85921300694149,0.00424693508295471,0.0068285849785996
Ptgis,1.48254171314738,0.688928900013864,0.236190986309979,2.91682976889604,0.0035360870514263,0.00571201436127039
Ace,1.81661658730574,0.680725461769087,0.239556334134818,2.84160911139168,0.00448864891985374,0.00720724311339174
