"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Rp1",13.7997164428173,-0.00866076925700223,0.314900866396948,-0.0275031610935135,0.978058418614396,0.999979586229843
"Sox17",3.81352442768461,0.123422843738387,0.28140776368078,0.438590755720563,0.660958096514535,0.999979586229843
"Mrpl15",1.41626995922753,0.0555174234984767,0.179850330829559,0.308686802200489,0.757559784186939,0.999979586229843
"Lypla1",1.50166103508077,0.0251632804786725,0.2082470167777,0.120833810097428,0.903822669718752,0.999979586229843
"Tcea1",10.1177712546175,0.0976564963023435,0.290121554963864,0.336605449100488,0.736414347906468,0.999979586229843
"Atp6v1h",1.22067070996213,0.0544598761382399,0.195198886840558,0.278996858126163,0.780247235924632,NA
"Rb1cc1",27.5551298267207,0.066485149602957,0.282547414828282,0.235306168500474,0.813971107754541,0.999979586229843
"Pcmtd1",1.40589394654527,-0.0579149222943051,0.178545177751218,-0.324371248911593,0.745656984047768,0.999979586229843
"Rrs1",14.0532479392371,-0.251620241266459,0.294921142969773,-0.853178035093428,0.393560582097315,0.999979586229843
"Mybl1",13.7024501328432,-0.0086623538348421,0.310442509532221,-0.0279032463946212,0.977739319204475,0.999979586229843
"Vcpip1",1.18533795188471,-0.0342308833347448,0.197289380837611,-0.173505959567688,0.862253743869236,NA
"1700034P13Rik",2.01723384747042,-0.00868846162783827,0.256773518814131,-0.0338370625910515,0.973007081183301,0.999979586229843
"Sgk3",22.3490285778127,0.085517608743853,0.317372536279054,0.269454974732472,0.787579586175994,0.999979586229843
"Snhg6",6.27467020083527,0.103085609477559,0.289127238583863,0.356540635819957,0.721435725856579,0.999979586229843
"Snord87",9.21188899647939,-0.00866215485328234,0.311056478761459,-0.0278475307370953,0.977783756599294,0.999979586229843
"Cops5",1.32269722476469,0.0722710827210824,0.186525856366818,0.387458790586949,0.698416587320827,0.999979586229843
"Cspp1",1.84885280595186,0.102299223681786,0.240082115474811,0.426100975824327,0.670034269172445,0.999979586229843
"Arfgef1",1.45496954035849,-0.0176500514570394,0.19496930306478,-0.0905273352245356,0.92786817276116,0.999979586229843
"Prex2",1.21624165703862,0.199778079181283,0.198289848687087,1.00750532870971,0.313691998284856,NA
"A830018L16Rik",12.803587886444,-0.00867008537003777,0.291117974656466,-0.029782033831023,0.976240887337029,0.999979586229843
"Prdm14",3.42764487442982,-0.00867653175569634,0.277623072727925,-0.0312529202650224,0.975067836234412,0.999979586229843
"Ncoa2",31.3129893770468,-0.0597123017782082,0.316760117090081,-0.188509533102702,0.850477243148716,0.999979586229843
"Tram1",1.88890976873943,0.173879183989325,0.155860655410141,1.11560665218408,0.264590543407755,0.999979586229843
"Lactb2",1.31005058379727,0.0306194779211087,0.209950973305354,0.145841085845197,0.884046840825927,0.999979586229843
"Xkr9",35.8269117294375,-0.00866099300541026,0.314103342672613,-0.027573705302581,0.978002153817819,0.999979586229843
"Eya1",16.6938729607215,-0.0255575405585724,0.305687865079483,-0.0836066572414547,0.933369173758391,0.999979586229843
"Msc",5.74284387236573,-0.00866568240343117,0.301783850669245,-0.0287148645767953,0.977092001038624,0.999979586229843
"Kcnb2",23.0627729510816,-0.00866235082358031,0.310369795464868,-0.0279097739218017,0.977734113018932,0.999979586229843
"Terf1",37.1105542843623,0.0953779520760035,0.292873456080977,0.32566267135398,0.744679589768902,0.999979586229843
"Rpl7",22.7217464260581,-0.375195599154159,0.236206079706166,-1.58842481794242,0.11219030918129,0.988364514965945
"Ube2w",24.4453605431588,-0.0328631870251474,0.318518367513536,-0.103175170969539,0.917823945424218,0.999979586229843
"Tceb1",1.65191221032527,0.202354874356245,0.167083944371617,1.21109706331915,0.225858206777037,0.999979586229843
"Tmem70",1.25555963009371,0.0207669080825922,0.192166997000717,0.108066985521529,0.913942556483461,NA
"Ly96",2.32867893389427,0.091041861038383,0.254782098988723,0.357332251362027,0.720843088507186,0.999979586229843
"Jph1",2.66189920260337,-0.00867845387528884,0.273936818377583,-0.0316804945267592,0.974726850191058,0.999979586229843
"Mcm3",1.27728392630169,-0.00166486439963937,0.189609852120014,-0.00878047412106829,0.992994285281997,0.999979586229843
"Tram2",5.00801366116169,-0.0256174622720466,0.292025813714851,-0.0877232801654335,0.930096616054572,0.999979586229843
"Gsta3",6.95643709799809,0.190632644504587,0.306240827654565,0.622492585213419,0.533618017868607,0.999979586229843
"Gm4956",1.27958784450928,0.142223653152905,0.191724810308977,0.741811416705548,0.458201602429979,0.999979586229843
"Khdc1b",5.30636733101518,-0.00866892281651419,0.293907161925801,-0.0294954459759056,0.976469450947696,0.999979586229843
"Kcnq5",14.3931351587228,-0.0254700189458552,0.317967518815252,-0.0801025810458772,0.93615566996865,0.999979586229843
"4933415F23Rik",1.51170725688132,0.00192126463401531,0.233205164834732,0.00823851665282316,0.993426689117439,0.999979586229843
"Mir30a",2.03666375858355,-0.00868881194642297,0.256227917627246,-0.0339104810548522,0.972948535322916,0.999979586229843
"Ogfrl1",1.46838786251744,0.199408691000534,0.207225318393148,0.962279573494086,0.33590918682287,0.999979586229843
"Smap1",1.40744847621513,0.140986266450704,0.181200377774485,0.778068280995362,0.436528760736502,0.999979586229843
"1110058L19Rik",1.41584868296849,-0.159100879859971,0.179944356149202,-0.884167101790351,0.376606014594283,0.999979586229843
"Lmbrd1",1.3922740600146,-0.0191272586027287,0.186700526800343,-0.102448873233139,0.918400392484315,0.999979586229843
"Phf3",2.46629514054143,-0.160815080067592,0.249733769062293,-0.643946073738545,0.519610403470382,0.999979586229843
